Fund Holdings as of,"27/jan/2022"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ISRG","INTUITIVE SURGICAL INC","Gezondheidszorg","Aandelen","74.810.619,00","0,17","74.810.619,00","284.700,00","262,77","Verenigde Staten","NASDAQ","USD"
"BKNG","BOOKING HOLDINGS INC","Luxe-consumentengoederen","Aandelen","73.826.369,55","0,16","73.826.369,55","31.287,00","2.359,65","Verenigde Staten","NASDAQ","USD"
"SHOP","SHOPIFY SUBORDINATE VOTING INC CLA","IT","Aandelen","72.719.028,55","0,16","72.719.028,55","88.851,00","818,44","Canada","Toronto Stock Exchange","CAD"
"MO","ALTRIA GROUP INC","Basis-consumentengoederen","Aandelen","72.254.109,48","0,16","72.254.109,48","1.435.322,00","50,34","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BATS","BRITISH AMERICAN TOBACCO PLC","Basis-consumentengoederen","Aandelen","71.997.732,65","0,16","71.997.732,65","1.690.621,00","42,59","Verenigd Koninkrijk","London Stock Exchange","GBP"
"6861","KEYENCE CORP","IT","Aandelen","71.864.675,30","0,16","71.864.675,30","147.204,00","488,20","Japan","Tokyo Stock Exchange","JPY"
"SU","SCHNEIDER ELECTRIC","Industrie","Aandelen","69.299.900,33","0,15","69.299.900,33","410.663,00","168,75","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"BNS","BANK OF NOVA SCOTIA","Financiële waarden","Aandelen","68.941.133,57","0,15","68.941.133,57","966.111,00","71,36","Canada","Toronto Stock Exchange","CAD"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financiële waarden","Aandelen","68.847.703,68","0,15","68.847.703,68","335.908,00","204,96","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ZTS","ZOETIS INC CLASS A","Gezondheidszorg","Aandelen","68.664.606,34","0,15","68.664.606,34","365.899,00","187,66","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MU","MICRON TECHNOLOGY INC","IT","Aandelen","68.317.939,20","0,15","68.317.939,20","867.860,00","78,72","Verenigde Staten","NASDAQ","USD"
"RIO","RIO TINTO PLC","Materialen","Aandelen","67.736.881,12","0,15","67.736.881,12","908.244,00","74,58","Verenigd Koninkrijk","London Stock Exchange","GBP"
"GILD","GILEAD SCIENCES INC","Gezondheidszorg","Aandelen","66.839.404,73","0,15","66.839.404,73","993.599,00","67,27","Verenigde Staten","NASDAQ","USD"
"ADI","ANALOG DEVICES INC","IT","Aandelen","66.441.236,10","0,15","66.441.236,10","429.790,00","154,59","Verenigde Staten","NASDAQ","USD"
"CB","CHUBB LTD","Financiële waarden","Aandelen","66.227.097,35","0,15","66.227.097,35","343.555,00","192,77","Verenigde Staten","New York Stock Exchange Inc.","USD"
"TJX","TJX INC","Luxe-consumentengoederen","Aandelen","66.122.430,44","0,15","66.122.430,44","949.762,00","69,62","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CNR","CANADIAN NATIONAL RAILWAY","Industrie","Aandelen","66.115.905,43","0,15","66.115.905,43","554.237,00","119,29","Canada","Toronto Stock Exchange","CAD"
"CSL","CSL LTD","Gezondheidszorg","Aandelen","65.760.270,74","0,15","65.760.270,74","373.881,00","175,89","Australië","Asx - All Markets","AUD"
"TFC","TRUIST FINANCIAL CORP","Financiële waarden","Aandelen","65.172.533,18","0,15","65.172.533,18","1.052.698,00","61,91","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ADP","AUTOMATIC DATA PROCESSING INC","IT","Aandelen","64.821.349,88","0,14","64.821.349,88","330.014,00","196,42","Verenigde Staten","NASDAQ","USD"
"BX","BLACKSTONE INC","Financiële waarden","Aandelen","64.420.995,84","0,14","64.420.995,84","541.171,00","119,04","Verenigde Staten","New York Stock Exchange Inc.","USD"
"USB","US BANCORP","Financiële waarden","Aandelen","64.303.448,16","0,14","64.303.448,16","1.119.489,00","57,44","Verenigde Staten","New York Stock Exchange Inc.","USD"
"ENB","ENBRIDGE INC","Energie","Aandelen","64.134.513,59","0,14","64.134.513,59","1.552.065,00","41,32","Canada","Toronto Stock Exchange","CAD"
"SYK","STRYKER CORP","Gezondheidszorg","Aandelen","63.711.465,01","0,14","63.711.465,01","259.697,00","245,33","Verenigde Staten","New York Stock Exchange Inc.","USD"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materialen","Aandelen","63.286.034,74","0,14","63.286.034,74","369.749,00","171,16","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"CME","CME GROUP INC CLASS A","Financiële waarden","Aandelen","62.924.212,32","0,14","62.924.212,32","281.868,00","223,24","Verenigde Staten","NASDAQ","USD"
"CI","CIGNA CORP","Gezondheidszorg","Aandelen","62.811.162,54","0,14","62.811.162,54","276.178,00","227,43","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BNP","BNP PARIBAS SA","Financiële waarden","Aandelen","62.589.148,68","0,14","62.589.148,68","870.369,00","71,91","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"LRCX","LAM RESEARCH CORP","IT","Aandelen","62.346.307,50","0,14","62.346.307,50","112.275,00","555,30","Verenigde Staten","NASDAQ","USD"
"DUK","DUKE ENERGY CORP","Nutsbedrijven","Aandelen","62.260.266,25","0,14","62.260.266,25","603.005,00","103,25","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CSX","CSX CORP","Industrie","Aandelen","60.502.135,80","0,14","60.502.135,80","1.802.805,00","33,56","Verenigde Staten","NASDAQ","USD"
"F","FORD MOTOR CO","Luxe-consumentengoederen","Aandelen","60.460.623,25","0,14","60.460.623,25","3.092.615,00","19,55","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Vastgoed","Aandelen","58.855.887,51","0,13","58.855.887,51","343.043,00","171,57","Verenigde Staten","New York Stock Exchange Inc.","USD"
"MMC","MARSH & MCLENNAN INC","Financiële waarden","Aandelen","58.715.850,97","0,13","58.715.850,97","398.587,00","147,31","Verenigde Staten","New York Stock Exchange Inc.","USD"
"CFR","COMPAGNIE FINANCIERE RICHEMONT SA","Luxe-consumentengoederen","Aandelen","58.621.370,77","0,13","58.621.370,77","415.547,00","141,07","Zwitserland","SIX Swiss Exchange","CHF"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financiële waarden","Aandelen","58.450.350,83","0,13","58.450.350,83","9.894.136,00","5,91","Japan","Tokyo Stock Exchange","JPY"
"AIR","AIRBUS GROUP","Industrie","Aandelen","58.274.964,50","0,13","58.274.964,50","456.819,00","127,57","Frankrijk","Nyse Euronext - Euronext Paris","EUR"
"ITW","ILLINOIS TOOL INC","Industrie","Aandelen","57.966.911,99","0,13","57.966.911,99","251.407,00","230,57","Verenigde Staten","New York Stock Exchange Inc.","USD"
"BMO","BANK OF MONTREAL","Financiële waarden","Aandelen","57.904.435,81","0,13","57.904.435,81","507.988,00","113,99","Canada","Toronto Stock Exchange","CAD"
"BAM.A","BROOKFIELD ASSET MANAGEMENT INC CL","Financiële waarden","Aandelen","57.844.909,54","0,13","57.844.909,54","1.102.872,00","52,45","Canada","Toronto Stock Exchange","CAD"
"SO","SOUTHERN","Nutsbedrijven","Aandelen","57.787.811,38","0,13","57.787.811,38","849.446,00","68,03","Verenigde Staten","New York Stock Exchange Inc.","USD"
"PRX","PROSUS NV","Luxe-consumentengoederen","Aandelen","57.394.284,39","0,13","57.394.284,39","730.203,00","78,60","Nederland","Euronext Amsterdam","EUR"
"SHW","SHERWIN WILLIAMS","Materialen","Aandelen","56.702.243,97","0,13","56.702.243,97","200.241,00","283,17","Verenigde Staten","New York Stock Exchange Inc.","USD"
